,missions_been_on,failed_missions_been_on,missions_voted_up1,missions_voted_up2,missions_voted_up3,missions_voted_up4,missions_voted_up5,missions_voted_up6,missions_voted_down1,missions_voted_down2,missions_voted_down3,missions_voted_down4,missions_voted_down5,missions_voted_down6,Spy
356,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1
357,2,2,2,0,1,1,0,0,0,0,0,0,0,0,1
358,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
359,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
360,3,2,1,0,0,0,0,0,4,2,2,0,0,0,1
361,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
362,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1
363,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
364,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
366,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
367,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0
368,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
369,1,1,1,4,2,0,0,0,0,0,0,0,0,0,1
370,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1
371,2,1,1,1,0,0,0,0,2,2,4,3,0,0,0
372,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1
373,2,2,3,1,1,0,1,0,0,0,0,0,0,0,0
374,2,1,2,0,1,1,0,0,2,0,0,0,0,0,1
375,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1
376,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
377,2,2,0,1,0,0,0,0,4,0,1,0,0,0,1
378,1,1,2,0,1,1,0,0,0,0,0,0,0,0,1
379,2,2,1,1,1,0,0,0,1,0,0,0,0,0,1
380,2,1,1,0,1,1,0,0,0,0,0,0,1,0,1
381,2,2,2,2,1,0,2,0,0,0,0,0,0,0,1
382,2,1,2,1,0,1,0,0,0,0,0,0,0,0,1
383,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0
384,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1
385,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
386,2,1,1,2,0,1,0,0,1,0,0,0,1,0,0
387,2,2,1,1,0,0,1,0,1,1,0,0,0,0,1
388,3,2,2,0,1,0,1,1,1,1,0,0,0,0,1
389,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1
390,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
391,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
392,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
393,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
394,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0
395,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0
396,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
397,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
398,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
399,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0
400,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1
401,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1
402,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
403,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
404,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1
405,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
406,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
407,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1
408,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1
409,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
410,3,2,0,1,0,0,0,0,3,0,2,0,1,0,0
411,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
412,3,1,0,1,0,1,0,0,3,4,1,0,0,0,0
